image_name,true_label,predicted_label,confidence,correct,probability_class_0,probability_class_1,probability_class_2,probability_class_3,probability_class_4,probability_class_5,probability_class_6,probability_class_7
1269.JPG,5,5,0.9147571921348572,1,0.011533590964972973,0.0075253089889883995,0.030833158642053604,0.009491540491580963,0.009336491115391254,0.9147571921348572,0.0100833959877491,0.006439356133341789
1458.JPG,7,1,0.41216588020324707,0,0.10559376329183578,0.41216588020324707,0.15603533387184143,0.07633429765701294,0.02822836861014366,0.09922648221254349,0.020353006199002266,0.1020628809928894
700.JPG,6,6,0.8927372097969055,1,0.006836998742073774,0.06699810177087784,0.006412593647837639,0.008727370761334896,0.002202478935942054,0.01078158337622881,0.8927372097969055,0.005303673446178436
264.JPG,2,2,0.9377719163894653,1,0.009993212297558784,0.012400701642036438,0.9377719163894653,0.008612009696662426,0.00721321627497673,0.007493412122130394,0.008471081964671612,0.00804437231272459
1017.JPG,2,5,0.3765381872653961,0,0.19902649521827698,0.0379822701215744,0.10198415815830231,0.041525714099407196,0.04306782782077789,0.3765381872653961,0.028564736247062683,0.17131060361862183
991.JPG,2,2,0.5240808725357056,1,0.31013286113739014,0.019104665145277977,0.5240808725357056,0.015592687763273716,0.024206748232245445,0.019150208681821823,0.05759843438863754,0.03013361245393753
1337.JPG,2,1,0.8535822033882141,0,0.010093621909618378,0.8535822033882141,0.02622080408036709,0.010607406497001648,0.008102769032120705,0.009175541810691357,0.07180763781070709,0.010409985668957233
359.JPG,3,3,0.8614997267723083,1,0.012356146238744259,0.018119212239980698,0.01647261530160904,0.8614997267723083,0.008581950329244137,0.017256269231438637,0.01826995052397251,0.047444045543670654
1083.JPG,2,0,0.4635702669620514,0,0.4635702669620514,0.0372995026409626,0.3641897439956665,0.05285472050309181,0.02028520591557026,0.024848174303770065,0.014111362397670746,0.0228410717099905
1071.JPG,2,0,0.5697110891342163,0,0.5697110891342163,0.036264289170503616,0.23456360399723053,0.021201295778155327,0.029760561883449554,0.03820433467626572,0.046628598123788834,0.023666249588131905
271.JPG,5,5,0.3125424385070801,1,0.13825088739395142,0.021866315975785255,0.18288081884384155,0.015563340857625008,0.04404161497950554,0.3125424385070801,0.15781864523887634,0.12703590095043182
448.JPG,0,1,0.30088508129119873,0,0.13086174428462982,0.30088508129119873,0.07791997492313385,0.03944286331534386,0.02225498855113983,0.1649024486541748,0.21518421173095703,0.04854872077703476
1270.JPG,1,1,0.9539263248443604,1,0.007461797911673784,0.9539263248443604,0.005374434404075146,0.0053967637941241264,0.004104095045477152,0.0027226959355175495,0.01604023203253746,0.004973669070750475
747.JPG,2,2,0.9310328960418701,1,0.013774261809885502,0.009483687579631805,0.9310328960418701,0.007468591444194317,0.007177961058914661,0.011026042513549328,0.009585009887814522,0.010451564565300941
1229.JPG,1,1,0.8597750663757324,1,0.014730782248079777,0.8597750663757324,0.005588557105511427,0.03761858865618706,0.005917493719607592,0.016276463866233826,0.04602522775530815,0.01406777836382389
553.JPG,2,5,0.888851523399353,0,0.010186733677983284,0.010256079956889153,0.02597717195749283,0.018385175615549088,0.0069735487923026085,0.888851523399353,0.03248012438416481,0.00688968226313591
580.JPG,0,0,0.8904658555984497,1,0.8904658555984497,0.017407996580004692,0.011008361354470253,0.012721720151603222,0.0133335767313838,0.01689942739903927,0.01748206838965416,0.02068094164133072
1218.JPG,4,4,0.7680675387382507,1,0.01267954520881176,0.13549493253231049,0.02112450636923313,0.0149052320048213,0.7680675387382507,0.014973602257668972,0.01142775360494852,0.02132689580321312
391.JPG,0,5,0.7714522480964661,0,0.029448652639985085,0.06743323057889938,0.01225078385323286,0.03532223403453827,0.05400746688246727,0.7714522480964661,0.016318919137120247,0.013766479678452015
582.JPG,0,0,0.8786405324935913,1,0.8786405324935913,0.01573856920003891,0.0075765796937048435,0.01582707278430462,0.016487352550029755,0.031197333708405495,0.01307089626789093,0.021461663767695427
84.JPG,0,0,0.8366674184799194,1,0.8366674184799194,0.01614456996321678,0.04436318948864937,0.008312709629535675,0.01596597395837307,0.023051297292113304,0.03669876605272293,0.018796144053339958
1440.JPG,7,7,0.9277228116989136,1,0.006368303205817938,0.011506772600114346,0.00957372784614563,0.014298466965556145,0.011686507612466812,0.010345183312892914,0.008498143404722214,0.9277228116989136
89.JPG,1,1,0.5717760920524597,1,0.03831169009208679,0.5717760920524597,0.03582853451371193,0.03497915714979172,0.00521182781085372,0.03059256076812744,0.26676806807518005,0.016532059758901596
1454.JPG,7,2,0.47395026683807373,0,0.06451719999313354,0.03929741308093071,0.47395026683807373,0.030443456023931503,0.012224644422531128,0.03058333322405815,0.19883982837200165,0.15014387667179108
494.JPG,6,5,0.45743924379348755,0,0.08525305986404419,0.07797273248434067,0.019389590248465538,0.22265321016311646,0.026484893634915352,0.45743924379348755,0.018476612865924835,0.09233062714338303
847.JPG,2,2,0.94916832447052,1,0.0060910386964678764,0.007782559376209974,0.94916832447052,0.00990251824259758,0.0056822034530341625,0.007829664275050163,0.006620008964091539,0.006923671346157789
1277.JPG,5,5,0.9308717250823975,1,0.009929453022778034,0.006256798282265663,0.00996025837957859,0.007515340112149715,0.00801204051822424,0.9308717250823975,0.015332126058638096,0.012122257612645626
267.JPG,2,2,0.9134399890899658,1,0.011431096121668816,0.018646743148565292,0.9134399890899658,0.010798798874020576,0.011537639424204826,0.00811742153018713,0.009121272712945938,0.016907038167119026
1411.JPG,0,0,0.5797951817512512,1,0.5797951817512512,0.030828632414340973,0.2885429263114929,0.013154435902833939,0.025382742285728455,0.024905594065785408,0.016712382435798645,0.02067817747592926
693.JPG,6,6,0.9071220755577087,1,0.008017330430448055,0.0187058225274086,0.008098205551505089,0.01677187718451023,0.028133880347013474,0.006777683738619089,0.9071220755577087,0.006373131647706032
1329.JPG,0,0,0.4427862763404846,1,0.4427862763404846,0.18114452064037323,0.008621065877377987,0.013610408641397953,0.024408157914876938,0.011113210581243038,0.29111286997795105,0.027203449979424477
258.JPG,5,5,0.9223427772521973,1,0.008904452435672283,0.011645663529634476,0.0168217234313488,0.005038938019424677,0.0043073720298707485,0.9223427772521973,0.01081722229719162,0.02012183517217636
