image_name,mask_name,original_multiclass_label,true_binary_label,predicted_binary_label,probability_non_malignant,probability_malignant,correct
1269.JPG,1269_mask.png,5,0,0,0.9944279193878174,0.005572067108005285,1
1458.JPG,1458_mask.png,7,1,0,0.9853062629699707,0.014693760313093662,0
700.JPG,700_mask.png,6,0,0,0.9753121137619019,0.024687906727194786,1
264.JPG,264_mask.png,2,0,0,0.9814078211784363,0.018592214211821556,1
1017.JPG,1017_mask.png,2,0,0,0.9872539639472961,0.01274606492370367,1
991.JPG,991_mask.png,2,0,0,0.9923801422119141,0.007619879674166441,1
1337.JPG,1337_mask.png,2,0,0,0.9964849948883057,0.003514952026307583,1
359.JPG,359_mask.png,3,0,0,0.9604025483131409,0.03959745541214943,1
1083.JPG,1083_mask.png,2,0,0,0.9942033886909485,0.005796646233648062,1
1071.JPG,1071_mask.png,2,0,0,0.958353579044342,0.04164645075798035,1
271.JPG,271_mask.png,5,0,0,0.9575526118278503,0.04244743660092354,1
448.JPG,448_mask.png,0,0,0,0.8891704082489014,0.11082956194877625,1
1270.JPG,1270_mask.png,1,0,0,0.995185911655426,0.004814079962670803,1
747.JPG,747_mask.png,2,0,0,0.9752370715141296,0.02476290985941887,1
1229.JPG,1229_mask.png,1,0,0,0.9930729269981384,0.006927075330168009,1
553.JPG,553_mask.png,2,0,0,0.9872157573699951,0.012784259393811226,1
580.JPG,580_mask.png,0,0,0,0.9421823024749756,0.05781768634915352,1
1218.JPG,1218_mask.png,4,0,0,0.9913130402565002,0.008686988614499569,1
391.JPG,391_mask.png,0,0,0,0.9911333918571472,0.00886667799204588,1
582.JPG,582_mask.png,0,0,0,0.9167884588241577,0.0832115188241005,1
84.JPG,84_mask.png,0,0,0,0.9989018440246582,0.0010981566738337278,1
1440.JPG,1440_mask.png,7,1,0,0.8509922623634338,0.14900769293308258,0
89.JPG,89_mask.png,1,0,0,0.9942851662635803,0.005714863538742065,1
1454.JPG,1454_mask.png,7,1,0,0.9370386600494385,0.06296135485172272,0
494.JPG,494_mask.png,6,0,0,0.7833482027053833,0.2166518270969391,1
847.JPG,847_mask.png,2,0,0,0.9829962849617004,0.017003752291202545,1
1277.JPG,1277_mask.png,5,0,0,0.9716528058052063,0.02834715135395527,1
267.JPG,267_mask.png,2,0,0,0.9628317356109619,0.03716827183961868,1
1411.JPG,1411_mask.png,0,0,0,0.9991632699966431,0.0008366855909116566,1
693.JPG,693_mask.png,6,0,0,0.9716975688934326,0.028302429243922234,1
1329.JPG,1329_mask.png,0,0,0,0.9793699383735657,0.020630057901144028,1
258.JPG,258_mask.png,5,0,0,0.9904606938362122,0.009539267048239708,1
1323.JPG,1323_mask.png,5,0,0,0.9828613996505737,0.017138654366135597,1
1188.JPG,1188_mask.png,0,0,0,0.9959129691123962,0.004086984787136316,1
1013.JPG,1013_mask.png,4,0,0,0.9184656143188477,0.08153445273637772,1
862.JPG,862_mask.png,0,0,0,0.9773837327957153,0.02261621318757534,1
1079.JPG,1079_mask.png,5,0,0,0.7937934994697571,0.2062065601348877,1
1352.JPG,1352_mask.png,1,0,0,0.9980010390281677,0.0019989013671875,1
778.JPG,778_mask.png,0,0,0,0.6884258985519409,0.3115741014480591,1
948.JPG,948_mask.png,2,0,0,0.964410662651062,0.035589296370744705,1
245.JPG,245_mask.png,5,0,1,0.19793285429477692,0.8020671606063843,0
536.JPG,536_mask.png,2,0,0,0.9459654688835144,0.054034482687711716,1
1208.JPG,1208_mask.png,0,0,0,0.9988555908203125,0.001144420588389039,1
535.JPG,535_mask.png,2,0,0,0.9913833141326904,0.008616680279374123,1
331.JPG,331_mask.png,0,0,0,0.9986791014671326,0.0013209362514317036,1
48.JPG,48_mask.png,2,0,0,0.9897149205207825,0.01028506737202406,1
784.JPG,784_mask.png,4,0,0,0.7924422025680542,0.20755772292613983,1
1032.JPG,1032_mask.png,0,0,0,0.9980687499046326,0.0019312772201374173,1
592.JPG,592_mask.png,5,0,0,0.5008938312530518,0.49910613894462585,1
361.JPG,361_mask.png,3,0,0,0.5685675144195557,0.43143242597579956,1
388.JPG,388_mask.png,0,0,0,0.9053088426589966,0.09469115734100342,1
27.JPG,27_mask.png,0,0,0,0.9942863583564758,0.0057136984542012215,1
1130.JPG,1130_mask.png,4,0,0,0.9778397083282471,0.022160274907946587,1
430.JPG,430_mask.png,3,0,1,0.004649139940738678,0.9953508377075195,0
16.JPG,16_mask.png,0,0,0,0.9983161687850952,0.0016837966395542026,1
70.JPG,70_mask.png,2,0,0,0.7476480007171631,0.2523519992828369,1
741.JPG,741_mask.png,2,0,0,0.9962867498397827,0.003713238751515746,1
690.JPG,690_mask.png,5,0,0,0.9890927076339722,0.010907290503382683,1
1466.JPG,1466_mask.png,7,1,1,0.010633240453898907,0.9893667101860046,1
442.JPG,442_mask.png,5,0,0,0.9924747347831726,0.007525304332375526,1
1384.JPG,1384_mask.png,5,0,0,0.9460566639900208,0.053943295031785965,1
548.JPG,548_mask.png,1,0,0,0.9822425842285156,0.017757363617420197,1
1162.JPG,1162_mask.png,0,0,0,0.9959808588027954,0.004019167274236679,1
1023.JPG,1023_mask.png,0,0,0,0.9984051585197449,0.0015948816435411572,1
1111.JPG,1111_mask.png,5,0,0,0.9170693159103394,0.08293070644140244,1
191.JPG,191_mask.png,0,0,0,0.9691162109375,0.030883774161338806,1
1055.JPG,1055_mask.png,3,0,0,0.9203463196754456,0.07965365797281265,1
88.JPG,88_mask.png,5,0,0,0.9135879874229431,0.0864119753241539,1
296.JPG,296_mask.png,1,0,0,0.9960117340087891,0.003988264594227076,1
842.JPG,842_mask.png,0,0,0,0.9954923391342163,0.004507657140493393,1
253.JPG,253_mask.png,1,0,0,0.8923065662384033,0.10769340395927429,1
385.JPG,385_mask.png,1,0,0,0.9903786182403564,0.009621340781450272,1
973.JPG,973_mask.png,0,0,0,0.8364623188972473,0.16353768110275269,1
452.JPG,452_mask.png,6,0,0,0.9958550333976746,0.004144960083067417,1
1366.JPG,1366_mask.png,0,0,0,0.9959418177604675,0.004058129154145718,1
1085.JPG,1085_mask.png,5,0,0,0.9230718016624451,0.07692815363407135,1
896.JPG,896_mask.png,6,0,0,0.9963765740394592,0.0036234238650649786,1
472.JPG,472_mask.png,1,0,0,0.994541347026825,0.0054586585611104965,1
493.JPG,493_mask.png,6,0,0,0.8177697658538818,0.18223020434379578,1
234.JPG,234_mask.png,2,0,0,0.9796543717384338,0.020345646888017654,1
679.JPG,679_mask.png,0,0,1,0.31510838866233826,0.6848915815353394,0
699.JPG,699_mask.png,6,0,0,0.6808409690856934,0.31915906071662903,1
501.JPG,501_mask.png,4,0,0,0.964418888092041,0.0355810821056366,1
436.JPG,436_mask.png,2,0,1,0.3579922616481781,0.6420077681541443,0
249.JPG,249_mask.png,1,0,0,0.978523850440979,0.021476147696375847,1
621.JPG,621_mask.png,5,0,0,0.9592245817184448,0.04077545925974846,1
322.JPG,322_mask.png,1,0,0,0.9900513291358948,0.009948697872459888,1
186.JPG,186_mask.png,5,0,0,0.8897083401679993,0.11029160022735596,1
653.JPG,653_mask.png,2,0,0,0.9950622916221619,0.004937694873660803,1
129.JPG,129_mask.png,5,0,0,0.8832668662071228,0.11673308163881302,1
912.JPG,912_mask.png,0,0,0,0.9600182771682739,0.039981693029403687,1
1257.JPG,1257_mask.png,2,0,0,0.993471622467041,0.006528350990265608,1
39.JPG,39_mask.png,0,0,0,0.9787245392799377,0.021275414153933525,1
506.JPG,506_mask.png,2,0,0,0.9725298881530762,0.02747013233602047,1
1464.JPG,1464_mask.png,7,1,1,0.0011337214382365346,0.9988663196563721,1
1038.JPG,1038_mask.png,0,0,0,0.9834528565406799,0.01654711365699768,1
512.JPG,512_mask.png,2,0,0,0.9698566198348999,0.030143368989229202,1
