image_name,true_label,true_class,predicted_label,predicted_class,confidence,correct,probability_class_0,probability_class_1,probability_class_2,probability_class_3,probability_class_4,probability_class_5,probability_class_6,probability_class_7
1269.JPG,5,Class 5,5,Class 5,0.8270753622055054,1,0.007288175169378519,0.010951102711260319,0.007928512990474701,0.03447728604078293,0.04509565979242325,0.8270753622055054,0.023855872452259064,0.04332789033651352
1458.JPG,7,Class 7,5,Class 5,0.5152155756950378,0,0.016264647245407104,0.08490383625030518,0.018478618934750557,0.1385388970375061,0.11040272563695908,0.5152155756950378,0.0396294891834259,0.07656623423099518
700.JPG,6,Class 6,6,Class 6,0.9056481719017029,1,0.002757806796580553,0.03219705447554588,0.002745907986536622,0.014749951660633087,0.014068483375012875,0.004884152207523584,0.9056481719017029,0.022948522120714188
264.JPG,2,Class 2,2,Class 2,0.7663820385932922,1,0.01162234041839838,0.014235708862543106,0.7663820385932922,0.03973371535539627,0.05179769545793533,0.012805971316993237,0.036220189183950424,0.06720240414142609
1017.JPG,2,Class 2,0,Class 0,0.7159463167190552,0,0.7159463167190552,0.01875479333102703,0.014038849622011185,0.05260955169796944,0.05078796669840813,0.016696840524673462,0.03605709597468376,0.09510856866836548
991.JPG,2,Class 2,0,Class 0,0.6494396924972534,0,0.6494396924972534,0.025997910648584366,0.04549964517354965,0.0805182233452797,0.061227817088365555,0.015947483479976654,0.04069148749113083,0.08067771792411804
1337.JPG,2,Class 2,1,Class 1,0.7336663007736206,0,0.00547324912622571,0.7336663007736206,0.00999827403575182,0.0394807830452919,0.03570873662829399,0.008539426140487194,0.10423287749290466,0.0629003569483757
359.JPG,3,Class 3,3,Class 3,0.9316326975822449,1,0.0015628618421033025,0.006966409273445606,0.00854297261685133,0.9316326975822449,0.013061737641692162,0.005657974164932966,0.010995708405971527,0.021579746156930923
1083.JPG,2,Class 2,2,Class 2,0.7460833191871643,1,0.013739549554884434,0.01914096064865589,0.7460833191871643,0.0545138455927372,0.0535527840256691,0.015980638563632965,0.03074836917221546,0.06624052673578262
1071.JPG,2,Class 2,0,Class 0,0.7318632006645203,0,0.7318632006645203,0.018216412514448166,0.019375029951334,0.04776111617684364,0.055651430040597916,0.017861630767583847,0.03804437816143036,0.07122679799795151
271.JPG,5,Class 5,5,Class 5,0.7598161101341248,1,0.011918706819415092,0.012915407307446003,0.018395453691482544,0.04161561280488968,0.048906560987234116,0.7598161101341248,0.03370843827724457,0.07272373884916306
448.JPG,0,Class 0,7,Class 7,0.5587491989135742,0,0.008033339865505695,0.15680748224258423,0.016712253913283348,0.14630721509456635,0.05306370183825493,0.018773166462779045,0.041553668677806854,0.5587491989135742
1270.JPG,1,Class 1,1,Class 1,0.8657903671264648,1,0.0050901263020932674,0.8657903671264648,0.006966234650462866,0.02588478848338127,0.028096593916416168,0.005781752988696098,0.02265249565243721,0.039737652987241745
747.JPG,2,Class 2,2,Class 2,0.7769547700881958,1,0.00969310849905014,0.013392739929258823,0.7769547700881958,0.04112141951918602,0.04680753871798515,0.01240790169686079,0.03144674748182297,0.06817574054002762
1229.JPG,1,Class 1,1,Class 1,0.8651424646377563,1,0.00656286533921957,0.8651424646377563,0.0036163104232400656,0.033552929759025574,0.024259354919195175,0.006215910892933607,0.022463934496045113,0.038186196237802505
553.JPG,2,Class 2,5,Class 5,0.8219682574272156,0,0.008422772400081158,0.012364602647721767,0.008347244933247566,0.03215939179062843,0.03910262882709503,0.8219682574272156,0.028674978762865067,0.0489601232111454
580.JPG,0,Class 0,0,Class 0,0.757392942905426,1,0.757392942905426,0.01687009632587433,0.008451170288026333,0.047251950949430466,0.05181930959224701,0.013986984267830849,0.035133134573698044,0.06909432262182236
1218.JPG,4,Class 4,4,Class 4,0.9678575396537781,1,0.0011584782041609287,0.0036285414826124907,0.001428924617357552,0.007499031722545624,0.9678575396537781,0.0021227903198450804,0.0052915639244019985,0.011013100855052471
391.JPG,0,Class 0,3,Class 3,0.38674578070640564,0,0.0857355073094368,0.03850092738866806,0.008797015994787216,0.38674578070640564,0.14547617733478546,0.23196640610694885,0.024064021185040474,0.07871415466070175
582.JPG,0,Class 0,0,Class 0,0.766656219959259,1,0.766656219959259,0.01664295792579651,0.00750552536919713,0.04485360532999039,0.0520697757601738,0.012984064407646656,0.03228318691253662,0.06700462847948074
84.JPG,0,Class 0,0,Class 0,0.7508829236030579,1,0.7508829236030579,0.014487635344266891,0.012766378000378609,0.042916443198919296,0.05522337183356285,0.017399104312062263,0.03680795431137085,0.0695161372423172
1440.JPG,7,Class 7,7,Class 7,0.9818840026855469,1,0.0005450014723464847,0.001125837443396449,0.0009035610128194094,0.004304361529648304,0.005152459256350994,0.002378029515966773,0.0037067627999931574,0.9818840026855469
89.JPG,1,Class 1,1,Class 1,0.7642642259597778,1,0.010232965461909771,0.7642642259597778,0.0104953832924366,0.049827080219984055,0.035172704607248306,0.011810527183115482,0.05763334035873413,0.06056371331214905
1454.JPG,7,Class 7,7,Class 7,0.9332885146141052,1,0.001593889552168548,0.011169956997036934,0.003275579074397683,0.006679880432784557,0.013710727915167809,0.0025422172620892525,0.027739256620407104,0.9332885146141052
494.JPG,6,Class 6,5,Class 5,0.8199641704559326,0,0.010343454778194427,0.013557249680161476,0.007312726229429245,0.037298839539289474,0.03426011651754379,0.8199641704559326,0.025050153955817223,0.05221327766776085
847.JPG,2,Class 2,2,Class 2,0.7722209095954895,1,0.008959750644862652,0.015198562294244766,0.7722209095954895,0.03993309661746025,0.05060812085866928,0.013250061310827732,0.033248912543058395,0.06658055633306503
1277.JPG,5,Class 5,5,Class 5,0.8377228379249573,1,0.007253493648022413,0.010267361998558044,0.006345885340124369,0.028872670605778694,0.035591233521699905,0.8377228379249573,0.025955013930797577,0.04799150675535202
267.JPG,2,Class 2,2,Class 2,0.762876570224762,1,0.010869481600821018,0.01798146404325962,0.762876570224762,0.04296764358878136,0.05128677934408188,0.013143272139132023,0.033443138003349304,0.06743159890174866
1411.JPG,0,Class 0,0,Class 0,0.7612341642379761,1,0.7612341642379761,0.01606917940080166,0.011155779473483562,0.04256246238946915,0.054608043283224106,0.015298360958695412,0.03292643278837204,0.06614549458026886
693.JPG,6,Class 6,6,Class 6,0.9313153624534607,1,0.0028953475411981344,0.0037666435819119215,0.0018243825761601329,0.01827353797852993,0.018679602071642876,0.004199144430458546,0.9313153624534607,0.019046008586883545
1329.JPG,0,Class 0,0,Class 0,0.7458677291870117,1,0.7458677291870117,0.025698643177747726,0.010585733689367771,0.042592547833919525,0.04795167222619057,0.016643552109599113,0.038693659007549286,0.07196646183729172
258.JPG,5,Class 5,5,Class 5,0.8145732283592224,1,0.012307901866734028,0.013337339274585247,0.010446815751492977,0.0327046662569046,0.036286935210227966,0.8145732283592224,0.025027357041835785,0.05531580001115799
1323.JPG,5,Class 5,5,Class 5,0.8124678730964661,1,0.009109901264309883,0.012233047746121883,0.006596497725695372,0.03161715716123581,0.0432024747133255,0.8124678730964661,0.03004644438624382,0.05472669005393982
